id,date,store_nbr,family,sales,onpromotion
317,2017-01-13,4,PRODUCE,343,14
318,2017-01-13,4,CLEANING,409,24
319,2017-01-13,4,DAIRY,714,38
320,2017-01-13,5,GROCERY I,595,16
321,2017-01-13,5,BEVERAGES,1056,43
322,2017-01-13,5,PRODUCE,657,24
323,2017-01-13,5,CLEANING,266,3
324,2017-01-13,5,DAIRY,389,9
325,2017-01-14,1,GROCERY I,1107,46
326,2017-01-14,1,BEVERAGES,1529,35
327,2017-01-14,1,PRODUCE,551,7
328,2017-01-14,1,CLEANING,548,39
329,2017-01-14,1,DAIRY,688,40
330,2017-01-14,2,GROCERY I,999,36
331,2017-01-14,2,BEVERAGES,920,33
332,2017-01-14,2,PRODUCE,879,44
333,2017-01-14,2,CLEANING,402,21
334,2017-01-14,2,DAIRY,472,20
335,2017-01-14,3,GROCERY I,467,3
336,2017-01-14,3,BEVERAGES,995,29
337,2017-01-14,3,PRODUCE,630,30
338,2017-01-14,3,CLEANING,329,23
339,2017-01-14,3,DAIRY,691,35
340,2017-01-14,4,GROCERY I,706,23
341,2017-01-14,4,BEVERAGES,924,27
342,2017-01-14,4,PRODUCE,518,10
343,2017-01-14,4,CLEANING,690,48
344,2017-01-14,4,DAIRY,620,29
345,2017-01-14,5,GROCERY I,412,1
346,2017-01-14,5,BEVERAGES,660,14
347,2017-01-14,5,PRODUCE,1049,44
348,2017-01-14,5,CLEANING,593,43
349,2017-01-14,5,DAIRY,528,19
350,2017-01-15,1,GROCERY I,1164,48
351,2017-01-15,1,BEVERAGES,972,13
352,2017-01-15,1,PRODUCE,678,37
353,2017-01-15,1,CLEANING,560,35
354,2017-01-15,1,DAIRY,380,12
355,2017-01-15,2,GROCERY I,994,49
356,2017-01-15,2,BEVERAGES,1209,9
357,2017-01-15,2,PRODUCE,568,1
358,2017-01-15,2,CLEANING,296,12
359,2017-01-15,2,DAIRY,675,36
360,2017-01-15,3,GROCERY I,632,8
361,2017-01-15,3,BEVERAGES,1260,23
362,2017-01-15,3,PRODUCE,628,37
363,2017-01-15,3,CLEANING,638,48
364,2017-01-15,3,DAIRY,362,4
365,2017-01-15,4,GROCERY I,519,8
366,2017-01-15,4,BEVERAGES,1208,33
367,2017-01-15,4,PRODUCE,806,28
368,2017-01-15,4,CLEANING,291,7
369,2017-01-15,4,DAIRY,631,29
370,2017-01-15,5,GROCERY I,879,34
371,2017-01-15,5,BEVERAGES,862,13
372,2017-01-15,5,PRODUCE,628,25
373,2017-01-15,5,CLEANING,634,41
374,2017-01-15,5,DAIRY,509,24
375,2017-01-16,1,GROCERY I,1080,39
376,2017-01-16,1,BEVERAGES,970,13
377,2017-01-16,1,PRODUCE,784,32
378,2017-01-16,1,CLEANING,499,22
379,2017-01-16,1,DAIRY,365,16
380,2017-01-16,2,GROCERY I,888,32
381,2017-01-16,2,BEVERAGES,815,39
382,2017-01-16,2,PRODUCE,719,39
383,2017-01-16,2,CLEANING,261,5
384,2017-01-16,2,DAIRY,231,2
385,2017-01-16,3,GROCERY I,754,14
386,2017-01-16,3,BEVERAGES,1361,46
387,2017-01-16,3,PRODUCE,961,38
388,2017-01-16,3,CLEANING,440,26
389,2017-01-16,3,DAIRY,644,32
390,2017-01-16,4,GROCERY I,810,36
391,2017-01-16,4,BEVERAGES,892,3
392,2017-01-16,4,PRODUCE,605,21
393,2017-01-16,4,CLEANING,363,9
394,2017-01-16,4,DAIRY,625,32
395,2017-01-16,5,GROCERY I,865,46
396,2017-01-16,5,BEVERAGES,1511,35
397,2017-01-16,5,PRODUCE,465,14
398,2017-01-16,5,CLEANING,439,28
399,2017-01-16,5,DAIRY,508,3
400,2017-01-17,1,GROCERY I,743,11
401,2017-01-17,1,BEVERAGES,1369,25
402,2017-01-17,1,PRODUCE,914,42
403,2017-01-17,1,CLEANING,304,9
404,2017-01-17,1,DAIRY,583,39
405,2017-01-17,2,GROCERY I,1109,46
406,2017-01-17,2,BEVERAGES,1078,25
407,2017-01-17,2,PRODUCE,851,24
408,2017-01-17,2,CLEANING,524,32
409,2017-01-17,2,DAIRY,373,3
410,2017-01-17,3,GROCERY I,561,4
411,2017-01-17,3,BEVERAGES,1280,41
412,2017-01-17,3,PRODUCE,1030,48
413,2017-01-17,3,CLEANING,533,28
414,2017-01-17,3,DAIRY,370,13
415,2017-01-17,4,GROCERY I,687,20
416,2017-01-17,4,BEVERAGES,1456,25
417,2017-01-17,4,PRODUCE,641,20
418,2017-01-17,4,CLEANING,653,46
419,2017-01-17,4,DAIRY,524,25
420,2017-01-17,5,GROCERY I,878,40
421,2017-01-17,5,BEVERAGES,898,25
422,2017-01-17,5,PRODUCE,494,10
423,2017-01-17,5,CLEANING,492,26
424,2017-01-17,5,DAIRY,639,33
425,2017-01-18,1,GROCERY I,1007,43
426,2017-01-18,1,BEVERAGES,838,23
427,2017-01-18,1,PRODUCE,652,23
428,2017-01-18,1,CLEANING,563,32
429,2017-01-18,1,DAIRY,399,21
430,2017-01-18,2,GROCERY I,723,25
431,2017-01-18,2,BEVERAGES,892,27
432,2017-01-18,2,PRODUCE,995,39
433,2017-01-18,2,CLEANING,322,12
434,2017-01-18,2,DAIRY,543,29
435,2017-01-18,3,GROCERY I,747,18
436,2017-01-18,3,BEVERAGES,1471,31
437,2017-01-18,3,PRODUCE,634,28
438,2017-01-18,3,CLEANING,502,29
439,2017-01-18,3,DAIRY,369,0
440,2017-01-18,4,GROCERY I,653,13
441,2017-01-18,4,BEVERAGES,1360,27
442,2017-01-18,4,PRODUCE,979,48
443,2017-01-18,4,CLEANING,147,3
444,2017-01-18,4,DAIRY,265,0
445,2017-01-18,5,GROCERY I,497,2
446,2017-01-18,5,BEVERAGES,1192,31
447,2017-01-18,5,PRODUCE,706,33
448,2017-01-18,5,CLEANING,557,32
449,2017-01-18,5,DAIRY,376,0
450,2017-01-19,1,GROCERY I,592,2
451,2017-01-19,1,BEVERAGES,689,7
452,2017-01-19,1,PRODUCE,937,46
453,2017-01-19,1,CLEANING,476,27
454,2017-01-19,1,DAIRY,811,46
455,2017-01-19,2,GROCERY I,792,23
456,2017-01-19,2,BEVERAGES,1129,13
457,2017-01-19,2,PRODUCE,583,15
458,2017-01-19,2,CLEANING,162,3
459,2017-01-19,2,DAIRY,415,17
460,2017-01-19,3,GROCERY I,696,6
461,2017-01-19,3,BEVERAGES,1123,20
462,2017-01-19,3,PRODUCE,689,18
463,2017-01-19,3,CLEANING,238,0
464,2017-01-19,3,DAIRY,670,46
465,2017-01-19,4,GROCERY I,623,1
466,2017-01-19,4,BEVERAGES,570,2
467,2017-01-19,4,PRODUCE,488,4
468,2017-01-19,4,CLEANING,609,36
469,2017-01-19,4,DAIRY,499,33
470,2017-01-19,5,GROCERY I,894,43
471,2017-01-19,5,BEVERAGES,1131,29
472,2017-01-19,5,PRODUCE,743,45
473,2017-01-19,5,CLEANING,685,49
474,2017-01-19,5,DAIRY,478,16
475,2017-01-20,1,GROCERY I,768,44
476,2017-01-20,1,BEVERAGES,940,24
477,2017-01-20,1,PRODUCE,786,42
478,2017-01-20,1,CLEANING,650,45
479,2017-01-20,1,DAIRY,760,44
480,2017-01-20,2,GROCERY I,667,33
481,2017-01-20,2,BEVERAGES,1048,16
482,2017-01-20,2,PRODUCE,842,36
483,2017-01-20,2,CLEANING,438,22
484,2017-01-20,2,DAIRY,684,41
485,2017-01-20,3,GROCERY I,735,30
486,2017-01-20,3,BEVERAGES,704,5
487,2017-01-20,3,PRODUCE,907,44
488,2017-01-20,3,CLEANING,307,6
489,2017-01-20,3,DAIRY,515,20
490,2017-01-20,4,GROCERY I,728,27
491,2017-01-20,4,BEVERAGES,1042,1
492,2017-01-20,4,PRODUCE,801,42
493,2017-01-20,4,CLEANING,598,35
494,2017-01-20,4,DAIRY,824,48
495,2017-01-20,5,GROCERY I,980,33
496,2017-01-20,5,BEVERAGES,979,46
497,2017-01-20,5,PRODUCE,850,46
498,2017-01-20,5,CLEANING,401,19
499,2017-01-20,5,DAIRY,443,16
500,2017-01-21,1,GROCERY I,977,44
501,2017-01-21,1,BEVERAGES,642,1
502,2017-01-21,1,PRODUCE,494,8
503,2017-01-21,1,CLEANING,426,24
504,2017-01-21,1,DAIRY,663,42
505,2017-01-21,2,GROCERY I,1070,34
506,2017-01-21,2,BEVERAGES,770,2
507,2017-01-21,2,PRODUCE,827,48
508,2017-01-21,2,CLEANING,357,16
509,2017-01-21,2,DAIRY,797,46
510,2017-01-21,3,GROCERY I,716,11
511,2017-01-21,3,BEVERAGES,889,7
512,2017-01-21,3,PRODUCE,744,30
513,2017-01-21,3,CLEANING,393,15
514,2017-01-21,3,DAIRY,431,5
515,2017-01-21,4,GROCERY I,1002,40
516,2017-01-21,4,BEVERAGES,1190,44
517,2017-01-21,4,PRODUCE,559,15
518,2017-01-21,4,CLEANING,181,6
519,2017-01-21,4,DAIRY,423,14
520,2017-01-21,5,GROCERY I,604,6
521,2017-01-21,5,BEVERAGES,1255,49
522,2017-01-21,5,PRODUCE,672,22
523,2017-01-21,5,CLEANING,611,38
524,2017-01-21,5,DAIRY,696,34
525,2017-01-22,1,GROCERY I,608,16
526,2017-01-22,1,BEVERAGES,705,13
527,2017-01-22,1,PRODUCE,880,44
528,2017-01-22,1,CLEANING,533,33
529,2017-01-22,1,DAIRY,610,25
530,2017-01-22,2,GROCERY I,701,22
531,2017-01-22,2,BEVERAGES,1209,48
532,2017-01-22,2,PRODUCE,377,3
533,2017-01-22,2,CLEANING,411,17
534,2017-01-22,2,DAIRY,636,32
535,2017-01-22,3,GROCERY I,598,1
536,2017-01-22,3,BEVERAGES,1153,34
537,2017-01-22,3,PRODUCE,795,31
538,2017-01-22,3,CLEANING,558,31
539,2017-01-22,3,DAIRY,538,28
540,2017-01-22,4,GROCERY I,1021,43
541,2017-01-22,4,BEVERAGES,1310,46
542,2017-01-22,4,PRODUCE,468,9
543,2017-01-22,4,CLEANING,363,19
544,2017-01-22,4,DAIRY,228,4
545,2017-01-22,5,GROCERY I,960,49
546,2017-01-22,5,BEVERAGES,936,3
547,2017-01-22,5,PRODUCE,999,47
548,2017-01-22,5,CLEANING,190,0
549,2017-01-22,5,DAIRY,277,3
550,2017-01-23,1,GROCERY I,666,11
551,2017-01-23,1,BEVERAGES,934,38
552,2017-01-23,1,PRODUCE,916,45
553,2017-01-23,1,CLEANING,538,33
554,2017-01-23,1,DAIRY,534,24
555,2017-01-23,2,GROCERY I,575,7
556,2017-01-23,2,BEVERAGES,913,19
557,2017-01-23,2,PRODUCE,887,44
558,2017-01-23,2,CLEANING,624,45
559,2017-01-23,2,DAIRY,518,25
560,2017-01-23,3,GROCERY I,955,40
561,2017-01-23,3,BEVERAGES,750,5
562,2017-01-23,3,PRODUCE,553,4
563,2017-01-23,3,CLEANING,337,16
564,2017-01-23,3,DAIRY,524,23
565,2017-01-23,4,GROCERY I,714,12
566,2017-01-23,4,BEVERAGES,1238,46
567,2017-01-23,4,PRODUCE,510,2
568,2017-01-23,4,CLEANING,445,27
569,2017-01-23,4,DAIRY,628,33
570,2017-01-23,5,GROCERY I,603,11
571,2017-01-23,5,BEVERAGES,1009,24
572,2017-01-23,5,PRODUCE,367,4
573,2017-01-23,5,CLEANING,378,14
574,2017-01-23,5,DAIRY,723,37
575,2017-01-24,1,GROCERY I,654,25
576,2017-01-24,1,BEVERAGES,887,17
577,2017-01-24,1,PRODUCE,577,16
578,2017-01-24,1,CLEANING,550,49
579,2017-01-24,1,DAIRY,527,28
580,2017-01-24,2,GROCERY I,652,2
581,2017-01-24,2,BEVERAGES,878,26
582,2017-01-24,2,PRODUCE,566,12
583,2017-01-24,2,CLEANING,365,18
584,2017-01-24,2,DAIRY,505,15
585,2017-01-24,3,GROCERY I,1012,47
586,2017-01-24,3,BEVERAGES,1012,40
587,2017-01-24,3,PRODUCE,750,41
588,2017-01-24,3,CLEANING,605,35
589,2017-01-24,3,DAIRY,398,6
590,2017-01-24,4,GROCERY I,502,4
591,2017-01-24,4,BEVERAGES,956,29
592,2017-01-24,4,PRODUCE,809,38
593,2017-01-24,4,CLEANING,314,13
594,2017-01-24,4,DAIRY,406,12
595,2017-01-24,5,GROCERY I,810,31
596,2017-01-24,5,BEVERAGES,950,12
597,2017-01-24,5,PRODUCE,563,16
598,2017-01-24,5,CLEANING,620,39
599,2017-01-24,5,DAIRY,448,23
600,2017-01-25,1,GROCERY I,909,44
601,2017-01-25,1,BEVERAGES,1125,29
602,2017-01-25,1,PRODUCE,503,6
603,2017-01-25,1,CLEANING,471,27
604,2017-01-25,1,DAIRY,450,14
605,2017-01-25,2,GROCERY I,1030,49
606,2017-01-25,2,BEVERAGES,1001,3
607,2017-01-25,2,PRODUCE,527,21
608,2017-01-25,2,CLEANING,287,16
609,2017-01-25,2,DAIRY,607,25
610,2017-01-25,3,GROCERY I,706,17
611,2017-01-25,3,BEVERAGES,775,6
612,2017-01-25,3,PRODUCE,805,28
613,2017-01-25,3,CLEANING,417,22
614,2017-01-25,3,DAIRY,543,25
615,2017-01-25,4,GROCERY I,407,3
616,2017-01-25,4,BEVERAGES,1167,16
617,2017-01-25,4,PRODUCE,508,10
618,2017-01-25,4,CLEANING,519,31
619,2017-01-25,4,DAIRY,476,21
620,2017-01-25,5,GROCERY I,577,10
621,2017-01-25,5,BEVERAGES,816,20
622,2017-01-25,5,PRODUCE,1007,46
623,2017-01-25,5,CLEANING,207,5
624,2017-01-25,5,DAIRY,533,18
625,2017-01-26,1,GROCERY I,619,14
626,2017-01-26,1,BEVERAGES,929,33
627,2017-01-26,1,PRODUCE,655,14
628,2017-01-26,1,CLEANING,650,43
629,2017-01-26,1,DAIRY,748,45
630,2017-01-26,2,GROCERY I,774,24
631,2017-01-26,2,BEVERAGES,1013,14
632,2017-01-26,2,PRODUCE,696,26
633,2017-01-26,2,CLEANING,244,2
634,2017-01-26,2,DAIRY,591,28
635,2017-01-26,3,GROCERY I,1020,45
